Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 270.19
Entertainment,18.02 ± 17.16,22.36 ± 21.81,19.58 ± 19.00,2420.00 ± 949.74
Food,50.55 ± 12.14,32.45 ± 8.91,39.44 ± 10.10,3360.00 ± 702.14
Nightlife,33.35 ± 7.14,32.60 ± 9.32,32.63 ± 7.22,1780.00 ± 130.38
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,450.00 ± 640.31
Shopping,16.15 ± 23.14,11.15 ± 15.41,12.82 ± 17.58,520.00 ± 443.85
Travel,34.01 ± 15.47,37.43 ± 13.18,35.45 ± 14.36,4000.00 ± 2671.14
None,44.03 ± 13.36,55.85 ± 18.99,49.04 ± 15.43,1160.00 ± 313.05
Unknown-8,59.33 ± 14.77,67.95 ± 21.85,62.44 ± 17.08,1980.00 ± 825.83
Unknown-9,36.72 ± 13.06,32.14 ± 12.87,33.92 ± 12.45,2280.00 ± 438.18
Unknown-10,38.71 ± 31.27,41.85 ± 30.13,38.80 ± 30.27,1900.00 ± 2024.85
Unknown-11,45.01 ± 7.36,45.96 ± 4.39,45.44 ± 5.88,5240.00 ± 1254.19
Unknown-12,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,1160.00 ± 357.77
Unknown-13,42.12 ± 12.98,44.61 ± 7.38,42.84 ± 9.61,4720.00 ± 816.70
Unknown-14,2.00 ± 4.47,4.00 ± 8.94,2.67 ± 5.96,320.00 ± 164.32
Unknown-15,25.00 ± 50.00,25.00 ± 50.00,25.00 ± 50.00,75.00 ± 50.00
Unknown-17,44.91 ± 14.89,47.88 ± 16.57,46.19 ± 15.40,4700.00 ± 2475.88
Unknown-18,28.99 ± 11.17,32.71 ± 8.57,30.54 ± 9.98,2480.00 ± 1517.23
Unknown-20,33.62 ± 7.17,35.52 ± 10.57,34.38 ± 8.57,5840.00 ± 1438.05
Unknown-21,50.00 ± 50.00,50.00 ± 50.00,50.00 ± 50.00,133.33 ± 57.74
Unknown-23,8.33 ± 16.67,16.67 ± 33.33,11.11 ± 22.22,150.00 ± 100.00
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 70.71
Unknown-26,4.00 ± 8.94,3.33 ± 7.45,3.64 ± 8.13,280.00 ± 216.79
Unknown-27,13.67 ± 10.10,17.80 ± 12.63,14.35 ± 9.26,640.00 ± 378.15
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 249.00
Unknown-29,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,250.00 ± 129.10
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 216.79
Unknown-31,32.27 ± 10.97,32.44 ± 8.45,32.28 ± 9.85,3580.00 ± 889.94
Unknown-32,46.89 ± 35.65,50.00 ± 35.36,44.97 ± 27.24,320.00 ± 294.96
Unknown-33,40.09 ± 35.49,46.32 ± 36.36,42.37 ± 35.41,3660.00 ± 5193.55
Unknown-34,24.61 ± 16.25,24.88 ± 23.48,23.88 ± 18.54,1160.00 ± 482.70
Unknown-35,41.33 ± 25.01,44.00 ± 35.78,40.22 ± 24.65,440.00 ± 194.94
Unknown-36,33.27 ± 14.71,37.69 ± 24.63,34.21 ± 19.20,1540.00 ± 357.77
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 141.42
Unknown-39,32.12 ± 40.91,15.43 ± 17.68,17.33 ± 16.73,520.00 ± 204.94
Unknown-41,22.86 ± 9.54,26.00 ± 15.36,24.00 ± 11.62,2060.00 ± 873.50
Unknown-43,31.50 ± 12.60,42.67 ± 8.82,35.53 ± 10.78,1500.00 ± 803.12
Unknown-44,16.88 ± 11.48,15.54 ± 10.16,15.73 ± 10.20,1280.00 ± 676.02
Unknown-45,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-46,36.45 ± 11.21,35.85 ± 9.06,35.97 ± 9.82,5440.00 ± 1519.21
Unknown-47,3.16 ± 7.06,5.45 ± 12.20,4.00 ± 8.94,540.00 ± 403.73
Unknown-48,20.43 ± 23.47,44.76 ± 43.85,25.37 ± 24.91,220.00 ± 294.96
Unknown-49,36.88 ± 7.35,49.99 ± 31.15,39.13 ± 12.32,1140.00 ± 884.87
Unknown-50,38.79 ± 36.12,26.21 ± 16.10,29.69 ± 20.10,780.00 ± 356.37
Unknown-51,7.05 ± 7.20,13.33 ± 17.03,8.46 ± 9.45,1340.00 ± 829.46
Unknown-52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 549.55
Unknown-53,27.17 ± 23.90,19.48 ± 14.32,22.43 ± 17.69,1140.00 ± 433.59
Unknown-54,11.25 ± 13.15,33.33 ± 47.14,15.48 ± 17.98,175.00 ± 95.74
Unknown-55,24.53 ± 11.54,37.40 ± 12.95,28.40 ± 9.49,2220.00 ± 580.52
Unknown-56,2.22 ± 4.97,4.62 ± 10.32,3.00 ± 6.71,1080.00 ± 164.32
Unknown-57,33.65 ± 8.28,31.32 ± 7.30,31.61 ± 5.81,2680.00 ± 1160.60
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 150.00
Unknown-60,23.42 ± 16.47,25.30 ± 20.20,24.18 ± 18.05,1840.00 ± 1028.59
Unknown-61,5.00 ± 11.18,4.00 ± 8.94,4.44 ± 9.94,480.00 ± 148.32
Unknown-62,14.49 ± 5.57,25.76 ± 16.36,18.01 ± 8.72,1060.00 ± 502.99
Unknown-63,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 0.00
Unknown-64,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 942.34
