Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 260.77
Entertainment,3.20 ± 7.16,2.29 ± 5.11,2.67 ± 5.96,2080.00 ± 1541.75
Food,10.33 ± 8.09,11.69 ± 8.95,10.78 ± 8.17,1260.00 ± 492.95
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 228.04
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 192.35
Shopping,6.41 ± 6.17,9.89 ± 10.52,7.56 ± 7.54,1480.00 ± 889.94
Travel,42.44 ± 7.83,45.15 ± 6.33,43.70 ± 6.97,13960.00 ± 2614.00
None,19.71 ± 18.38,18.15 ± 18.72,18.30 ± 17.77,1240.00 ± 867.76
Unknown-8,25.34 ± 10.33,29.05 ± 8.41,26.66 ± 8.95,1320.00 ± 597.49
Unknown-10,26.22 ± 22.83,25.67 ± 18.32,24.52 ± 18.93,400.00 ± 158.11
Unknown-11,44.05 ± 6.89,40.47 ± 9.25,41.76 ± 7.35,5920.00 ± 1879.36
Unknown-12,34.09 ± 7.61,35.42 ± 8.75,34.72 ± 8.13,10100.00 ± 1489.97
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-14,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 114.02
Unknown-15,4.00 ± 8.94,20.00 ± 44.72,6.67 ± 14.91,120.00 ± 83.67
Unknown-16,19.21 ± 11.34,17.84 ± 10.62,18.49 ± 10.94,2960.00 ± 983.87
Unknown-17,29.27 ± 42.24,20.00 ± 21.73,22.79 ± 28.34,480.00 ± 438.18
Unknown-18,36.67 ± 6.33,37.34 ± 7.65,36.97 ± 6.92,7880.00 ± 2435.57
Unknown-19,46.70 ± 12.05,43.99 ± 4.72,44.66 ± 6.29,2820.00 ± 1103.18
Unknown-20,73.75 ± 3.87,56.34 ± 5.68,63.82 ± 4.88,39240.00 ± 6671.81
Unknown-21,43.34 ± 15.19,44.45 ± 16.87,43.75 ± 15.90,12280.00 ± 6177.14
Unknown-22,30.17 ± 19.60,41.69 ± 18.45,34.24 ± 19.02,3300.00 ± 2159.86
Unknown-23,36.68 ± 8.22,36.81 ± 7.68,36.66 ± 7.72,4780.00 ± 661.06
Unknown-25,37.37 ± 3.43,44.60 ± 5.59,40.63 ± 4.26,1920.00 ± 438.18
Unknown-26,26.42 ± 22.58,25.34 ± 21.97,25.82 ± 22.26,1160.00 ± 598.33
Unknown-27,39.42 ± 34.33,37.14 ± 15.33,35.45 ± 19.33,960.00 ± 260.77
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 89.44
Unknown-29,47.17 ± 13.53,49.09 ± 10.41,47.61 ± 10.98,880.00 ± 408.66
Unknown-31,45.00 ± 33.17,57.50 ± 43.49,49.17 ± 35.00,225.00 ± 189.30
Unknown-32,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 141.42
Unknown-33,12.43 ± 7.97,10.85 ± 8.01,11.13 ± 7.59,2340.00 ± 879.20
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 81.65
Unknown-35,25.92 ± 7.44,28.63 ± 9.26,27.18 ± 8.20,5300.00 ± 1031.99
Unknown-36,40.76 ± 10.11,43.52 ± 13.77,41.98 ± 11.82,4820.00 ± 1796.39
Unknown-37,11.40 ± 11.51,20.56 ± 21.12,14.07 ± 13.50,840.00 ± 589.92
Unknown-38,40.55 ± 38.63,33.33 ± 33.33,36.46 ± 35.65,520.00 ± 443.85
Unknown-39,23.90 ± 8.37,26.06 ± 7.99,24.78 ± 8.10,1860.00 ± 719.72
Unknown-40,67.24 ± 9.84,82.03 ± 8.89,73.75 ± 8.72,2740.00 ± 477.49
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 376.83
Unknown-43,3.21 ± 4.39,2.01 ± 2.82,2.44 ± 3.37,1500.00 ± 578.79
Unknown-44,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,520.00 ± 130.38
Unknown-45,30.32 ± 13.21,29.90 ± 13.14,29.91 ± 12.77,2480.00 ± 2078.94
Unknown-46,8.57 ± 12.78,28.00 ± 43.82,11.67 ± 16.24,160.00 ± 194.94
Unknown-48,29.41 ± 18.00,24.70 ± 14.89,26.80 ± 16.24,4040.00 ± 2261.19
Unknown-49,19.05 ± 9.34,18.37 ± 9.75,18.46 ± 9.03,3280.00 ± 554.08
Unknown-50,43.94 ± 12.98,50.16 ± 17.71,46.54 ± 14.73,7340.00 ± 4643.60
Unknown-51,26.67 ± 25.28,25.00 ± 25.00,25.71 ± 25.05,240.00 ± 151.66
Unknown-53,11.98 ± 9.48,22.17 ± 16.09,15.32 ± 11.36,460.00 ± 207.36
