Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,560.00 ± 260.77
Entertainment,1.43 ± 3.19,2.50 ± 5.59,1.82 ± 4.07,2080.00 ± 1788.02
Food,8.64 ± 9.01,10.00 ± 11.35,8.74 ± 9.13,1260.00 ± 517.69
Nightlife,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 130.38
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,820.00 ± 164.32
Shopping,9.66 ± 10.25,9.43 ± 9.65,9.51 ± 9.91,1480.00 ± 732.80
Travel,41.52 ± 9.49,43.91 ± 8.57,42.63 ± 9.01,13960.00 ± 3720.62
None,25.12 ± 16.76,23.88 ± 19.22,23.36 ± 15.85,1240.00 ± 1154.56
Unknown-8,28.60 ± 4.38,29.73 ± 9.08,28.59 ± 5.36,1320.00 ± 396.23
Unknown-10,15.33 ± 25.99,13.33 ± 18.26,13.02 ± 19.26,400.00 ± 300.00
Unknown-11,38.76 ± 12.76,36.94 ± 12.44,37.69 ± 12.21,5920.00 ± 3080.10
Unknown-12,34.08 ± 4.89,35.35 ± 6.46,34.64 ± 5.53,10100.00 ± 1607.79
Unknown-13,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 57.74
Unknown-14,12.50 ± 15.96,18.75 ± 23.94,15.00 ± 19.15,175.00 ± 170.78
Unknown-15,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,120.00 ± 130.38
Unknown-16,18.82 ± 9.99,17.74 ± 8.95,18.07 ± 9.37,2960.00 ± 1415.27
Unknown-17,19.49 ± 22.61,30.33 ± 41.04,22.56 ± 27.76,480.00 ± 580.52
Unknown-18,36.17 ± 10.78,36.64 ± 10.74,36.36 ± 10.60,7880.00 ± 1937.01
Unknown-19,43.11 ± 18.70,43.34 ± 18.13,42.62 ± 17.09,2820.00 ± 1722.50
Unknown-20,74.26 ± 1.77,55.92 ± 2.94,63.77 ± 2.24,39240.00 ± 2866.71
Unknown-21,44.02 ± 16.17,45.18 ± 13.70,44.54 ± 14.92,12280.00 ± 6293.41
Unknown-22,36.84 ± 23.52,44.76 ± 18.80,39.89 ± 21.80,3300.00 ± 1528.07
Unknown-23,37.19 ± 2.18,37.93 ± 4.67,37.52 ± 3.36,4780.00 ± 622.09
Unknown-24,16.67 ± 28.87,33.33 ± 57.74,22.22 ± 38.49,66.67 ± 57.74
Unknown-25,35.94 ± 11.83,43.99 ± 19.79,39.10 ± 13.85,1920.00 ± 389.87
Unknown-26,25.98 ± 22.32,23.77 ± 20.10,24.80 ± 21.07,1160.00 ± 594.14
Unknown-27,30.76 ± 22.54,33.74 ± 19.44,31.08 ± 18.66,960.00 ± 492.95
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,140.00 ± 54.77
Unknown-29,55.66 ± 11.52,52.81 ± 11.29,52.98 ± 6.12,880.00 ± 216.79
Unknown-31,65.00 ± 41.83,62.00 ± 41.47,60.00 ± 36.51,180.00 ± 192.35
Unknown-32,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-33,22.35 ± 12.19,20.07 ± 8.18,20.93 ± 9.94,2340.00 ± 1213.67
Unknown-34,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 152.75
Unknown-35,26.23 ± 7.26,28.79 ± 7.45,27.30 ± 6.99,5300.00 ± 1914.42
Unknown-36,41.97 ± 12.78,43.54 ± 14.74,42.71 ± 13.74,4820.00 ± 1500.67
Unknown-37,8.00 ± 17.89,8.00 ± 17.89,8.00 ± 17.89,840.00 ± 364.69
Unknown-38,50.92 ± 24.71,46.67 ± 22.11,47.65 ± 22.85,650.00 ± 251.66
Unknown-39,10.35 ± 10.14,10.99 ± 10.36,10.62 ± 10.16,1860.00 ± 694.98
Unknown-40,66.55 ± 8.55,84.04 ± 10.98,73.79 ± 6.95,2740.00 ± 1415.27
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 402.49
Unknown-43,4.86 ± 4.58,3.91 ± 4.16,4.29 ± 4.29,1500.00 ± 583.10
Unknown-44,5.00 ± 11.18,4.00 ± 8.94,4.44 ± 9.94,520.00 ± 130.38
Unknown-45,31.39 ± 9.45,33.84 ± 10.53,32.56 ± 9.95,2480.00 ± 1553.06
Unknown-46,17.50 ± 23.63,29.17 ± 47.87,14.58 ± 17.18,200.00 ± 270.80
Unknown-48,31.43 ± 13.37,27.06 ± 12.54,28.97 ± 12.99,4040.00 ± 1622.65
Unknown-49,19.49 ± 6.79,18.67 ± 6.46,18.84 ± 5.87,3280.00 ± 258.84
Unknown-50,44.49 ± 13.67,50.22 ± 15.46,46.89 ± 13.89,7340.00 ± 4079.58
Unknown-51,6.67 ± 14.91,20.00 ± 44.72,10.00 ± 22.36,240.00 ± 207.36
Unknown-53,3.25 ± 4.64,8.33 ± 11.79,4.50 ± 6.22,460.00 ± 230.22
Unknown-55,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 125.83
Unknown-56,23.32 ± 13.87,17.97 ± 10.63,20.22 ± 11.91,1400.00 ± 200.00
Unknown-57,16.02 ± 13.89,20.01 ± 14.57,17.64 ± 14.06,2660.00 ± 952.89
Unknown-58,31.62 ± 10.45,41.93 ± 18.81,35.86 ± 13.64,1320.00 ± 889.94
Unknown-59,24.29 ± 16.34,28.12 ± 16.68,26.01 ± 16.52,2020.00 ± 694.26
Unknown-60,18.10 ± 26.17,12.82 ± 17.58,14.67 ± 20.22,440.00 ± 541.29
Unknown-61,52.12 ± 10.18,51.49 ± 12.99,51.31 ± 9.89,2920.00 ± 1667.93
Unknown-62,14.79 ± 15.32,15.93 ± 14.60,14.68 ± 13.96,1480.00 ± 1771.16
