Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 357.77
Entertainment,19.62 ± 4.91,25.38 ± 9.76,22.01 ± 6.83,2420.00 ± 898.33
Food,51.03 ± 7.70,32.38 ± 6.17,39.21 ± 5.57,3360.00 ± 364.69
Nightlife,35.13 ± 14.16,33.65 ± 4.93,33.65 ± 7.73,1780.00 ± 258.84
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 364.69
Shopping,10.00 ± 22.36,5.00 ± 11.18,6.67 ± 14.91,520.00 ± 460.43
Travel,31.14 ± 17.04,37.09 ± 17.11,33.55 ± 17.18,4000.00 ± 2820.46
None,42.96 ± 13.37,54.55 ± 15.56,47.77 ± 13.39,1160.00 ± 251.00
Unknown-8,60.64 ± 16.88,67.85 ± 13.48,63.02 ± 11.88,1980.00 ± 785.49
Unknown-9,30.93 ± 21.92,29.10 ± 22.47,29.88 ± 21.98,2280.00 ± 903.88
Unknown-10,41.20 ± 31.63,48.06 ± 36.15,43.82 ± 32.79,1900.00 ± 2074.85
Unknown-11,42.12 ± 4.73,46.01 ± 8.79,43.59 ± 5.47,5240.00 ± 983.87
Unknown-12,4.40 ± 6.45,5.54 ± 8.74,4.87 ± 7.39,1160.00 ± 397.49
Unknown-13,41.68 ± 12.76,45.96 ± 12.59,43.24 ± 12.26,4720.00 ± 1495.66
Unknown-14,1.00 ± 2.24,10.00 ± 22.36,1.82 ± 4.07,320.00 ± 258.84
Unknown-16,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-17,43.33 ± 14.65,47.02 ± 14.64,45.09 ± 14.67,4700.00 ± 3203.12
Unknown-18,25.52 ± 14.17,29.46 ± 14.75,27.29 ± 14.50,2480.00 ± 1107.70
Unknown-20,35.21 ± 10.93,35.46 ± 12.41,35.30 ± 11.64,5840.00 ± 2010.72
Unknown-21,37.50 ± 47.87,37.50 ± 47.87,33.33 ± 38.49,100.00 ± 81.65
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-26,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,280.00 ± 148.32
Unknown-27,16.22 ± 9.35,22.08 ± 18.20,17.56 ± 10.58,640.00 ± 482.70
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,300.00 ± 435.89
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 148.32
Unknown-31,29.76 ± 14.13,32.32 ± 11.99,30.71 ± 13.31,3580.00 ± 1393.56
Unknown-32,55.83 ± 30.23,63.75 ± 33.01,52.24 ± 15.92,400.00 ± 316.23
Unknown-33,37.23 ± 36.28,43.35 ± 35.82,39.59 ± 36.00,3660.00 ± 5193.55
Unknown-34,33.17 ± 17.86,32.39 ± 17.60,32.75 ± 17.70,1160.00 ± 545.89
Unknown-35,56.67 ± 36.51,34.67 ± 20.63,42.76 ± 25.82,440.00 ± 288.10
Unknown-36,37.87 ± 12.56,37.21 ± 13.51,37.35 ± 12.71,1540.00 ± 634.82
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 152.75
Unknown-39,18.10 ± 13.21,19.67 ± 12.27,17.67 ± 10.65,520.00 ± 396.23
Unknown-40,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-41,22.66 ± 18.80,24.72 ± 20.55,23.44 ± 19.43,2060.00 ± 923.58
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 264.58
Unknown-43,31.25 ± 15.68,42.92 ± 17.87,35.65 ± 16.01,1500.00 ± 717.64
Unknown-44,13.71 ± 12.44,12.29 ± 10.22,12.85 ± 11.13,1280.00 ± 370.14
Unknown-46,36.91 ± 11.99,36.27 ± 10.99,36.46 ± 11.18,5440.00 ± 1650.15
Unknown-47,2.86 ± 6.39,4.44 ± 9.94,3.48 ± 7.78,540.00 ± 270.19
Unknown-48,27.00 ± 19.24,61.43 ± 41.53,34.08 ± 20.12,220.00 ± 277.49
Unknown-49,33.56 ± 18.40,36.83 ± 7.83,33.37 ± 12.48,1140.00 ± 1071.45
Unknown-50,26.50 ± 25.50,24.87 ± 23.69,24.51 ± 23.40,780.00 ± 334.66
Unknown-51,11.23 ± 10.15,7.94 ± 6.98,8.94 ± 7.58,1340.00 ± 680.44
Unknown-52,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 554.08
Unknown-53,18.67 ± 18.50,10.94 ± 10.62,13.02 ± 12.08,1140.00 ± 415.93
Unknown-54,16.67 ± 19.25,37.50 ± 47.87,22.50 ± 26.30,175.00 ± 150.00
Unknown-55,24.60 ± 11.17,26.22 ± 15.17,23.98 ± 11.11,2220.00 ± 746.32
Unknown-56,6.48 ± 9.10,14.22 ± 20.46,8.55 ± 11.72,1080.00 ± 277.49
Unknown-57,32.16 ± 8.33,32.12 ± 8.96,31.68 ± 8.10,2680.00 ± 1015.87
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-60,27.02 ± 13.17,30.32 ± 18.33,28.22 ± 15.13,1840.00 ± 968.50
Unknown-61,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,480.00 ± 476.45
Unknown-62,15.07 ± 7.80,20.62 ± 9.63,15.10 ± 5.26,1060.00 ± 502.99
Unknown-64,10.43 ± 23.33,14.12 ± 31.57,12.00 ± 26.83,640.00 ± 626.90
Unknown-65,23.89 ± 23.70,23.00 ± 22.80,22.55 ± 21.95,860.00 ± 450.56
Unknown-67,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,580.00 ± 383.41
Unknown-69,29.71 ± 17.27,32.99 ± 15.89,31.03 ± 16.36,1840.00 ± 973.65
Unknown-70,28.22 ± 18.23,25.05 ± 16.22,26.43 ± 16.97,2300.00 ± 717.64
Unknown-71,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-72,22.95 ± 18.73,23.77 ± 15.86,22.34 ± 15.18,1640.00 ± 654.22
Unknown-74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 164.32
Unknown-75,6.58 ± 10.40,6.01 ± 9.50,6.28 ± 9.93,1080.00 ± 742.97
Unknown-76,19.58 ± 23.82,21.55 ± 20.14,18.58 ± 19.48,580.00 ± 791.83
Unknown-77,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,640.00 ± 472.23
Unknown-78,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,180.00 ± 130.38
Unknown-79,31.51 ± 13.82,36.66 ± 12.38,33.18 ± 12.19,3800.00 ± 1372.95
Unknown-80,52.75 ± 12.53,54.90 ± 20.03,53.51 ± 16.30,2820.00 ± 1749.86
Unknown-81,45.79 ± 8.11,52.76 ± 5.34,48.42 ± 3.72,1460.00 ± 512.84
Unknown-82,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 270.19
Unknown-83,50.00 ± 50.00,66.67 ± 57.74,55.56 ± 50.92,100.00 ± 0.00
Unknown-84,15.56 ± 14.37,17.13 ± 13.51,15.42 ± 13.65,1280.00 ± 1138.86
Unknown-86,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 89.44
Unknown-88,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-89,24.40 ± 25.71,15.75 ± 12.57,18.49 ± 15.78,720.00 ± 286.36
Unknown-90,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-91,4.00 ± 8.94,20.00 ± 44.72,6.67 ± 14.91,160.00 ± 194.94
Unknown-92,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-93,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-95,18.70 ± 19.00,23.66 ± 23.48,20.78 ± 20.84,1260.00 ± 1543.70
Unknown-96,31.15 ± 40.98,23.62 ± 29.26,26.83 ± 34.12,640.00 ± 517.69
Unknown-97,11.57 ± 7.75,10.75 ± 7.48,10.98 ± 7.49,960.00 ± 517.69
Unknown-98,28.63 ± 19.27,37.86 ± 22.34,30.07 ± 17.68,600.00 ± 393.70
Unknown-99,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,425.00 ± 596.52
Unknown-101,53.33 ± 38.01,51.33 ± 36.64,46.67 ± 27.39,300.00 ± 234.52
Unknown-102,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,400.00 ± 316.23
Unknown-103,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,50.00 ± 70.71
Unknown-104,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 125.83
Unknown-105,45.46 ± 13.68,44.18 ± 20.46,43.70 ± 15.24,1660.00 ± 559.46
Unknown-106,17.36 ± 15.95,25.71 ± 27.68,20.00 ± 18.79,780.00 ± 766.16
Unknown-107,15.32 ± 17.67,19.50 ± 18.22,15.88 ± 16.88,740.00 ± 559.46
Unknown-109,24.29 ± 18.82,32.67 ± 18.43,26.68 ± 17.58,940.00 ± 698.57
Unknown-110,40.00 ± 54.77,20.00 ± 27.39,26.67 ± 36.51,300.00 ± 244.95
Unknown-111,21.99 ± 13.66,13.98 ± 11.36,16.76 ± 12.30,1440.00 ± 461.52
Unknown-112,4.00 ± 8.94,10.00 ± 22.36,5.71 ± 12.78,120.00 ± 83.67
Unknown-113,40.00 ± 54.77,26.67 ± 43.46,30.00 ± 44.72,240.00 ± 114.02
Unknown-115,39.00 ± 38.47,24.00 ± 17.82,28.89 ± 24.34,320.00 ± 164.32
Unknown-117,28.10 ± 27.06,34.00 ± 34.35,30.61 ± 29.93,440.00 ± 151.66
Unknown-118,65.00 ± 27.42,87.50 ± 25.00,71.14 ± 23.34,250.00 ± 238.05
Unknown-119,32.95 ± 40.99,25.24 ± 23.79,27.33 ± 28.32,500.00 ± 291.55
Unknown-120,1.00 ± 2.24,1.82 ± 4.07,1.29 ± 2.89,960.00 ± 260.77
Unknown-126,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,133.33 ± 57.74
Unknown-127,25.33 ± 12.96,29.65 ± 10.25,26.97 ± 11.93,3040.00 ± 2789.80
Unknown-128,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 200.00
Unknown-129,11.67 ± 16.24,10.67 ± 15.35,11.11 ± 15.71,320.00 ± 192.35
Unknown-130,25.62 ± 17.67,27.17 ± 21.62,25.62 ± 17.89,780.00 ± 408.66
Unknown-131,31.87 ± 10.43,33.25 ± 9.20,31.43 ± 6.08,860.00 ± 320.94
Unknown-132,20.00 ± 21.73,33.33 ± 40.82,22.44 ± 22.78,380.00 ± 414.73
Unknown-133,45.78 ± 13.38,57.86 ± 16.84,48.97 ± 10.45,1300.00 ± 447.21
Unknown-134,26.16 ± 26.40,22.42 ± 21.45,24.07 ± 23.55,1060.00 ± 1123.83
Unknown-136,26.25 ± 13.27,28.89 ± 13.37,27.42 ± 13.34,1780.00 ± 831.87
Unknown-137,8.33 ± 16.67,25.00 ± 50.00,12.50 ± 25.00,150.00 ± 57.74
Unknown-138,3.70 ± 8.28,5.26 ± 11.77,4.35 ± 9.72,480.00 ± 798.12
Unknown-139,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-140,18.41 ± 22.70,21.63 ± 25.86,19.49 ± 23.98,780.00 ± 653.45
Unknown-141,10.00 ± 22.36,20.00 ± 44.72,13.33 ± 29.81,100.00 ± 70.71
Unknown-142,20.00 ± 44.72,20.00 ± 44.72,20.00 ± 44.72,180.00 ± 130.38
Unknown-143,3.75 ± 8.39,6.67 ± 14.91,4.80 ± 10.73,320.00 ± 342.05
