Category,precision,recall,f1-score,support
Community,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,940.00 ± 357.77
Entertainment,10.00 ± 15.65,9.33 ± 14.61,9.66 ± 15.11,2420.00 ± 898.33
Food,51.03 ± 7.70,32.38 ± 6.17,39.21 ± 5.57,3360.00 ± 364.69
Nightlife,35.13 ± 14.16,33.65 ± 4.93,33.65 ± 7.73,1780.00 ± 258.84
Outdoors,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,360.00 ± 364.69
Shopping,15.71 ± 22.81,11.15 ± 15.41,12.59 ± 17.29,520.00 ± 460.43
Travel,33.19 ± 17.72,36.14 ± 15.51,34.39 ± 16.56,4000.00 ± 2820.46
None,42.96 ± 13.37,54.55 ± 15.56,47.77 ± 13.39,1160.00 ± 251.00
Unknown-8,60.38 ± 16.06,67.85 ± 13.48,62.91 ± 11.52,1980.00 ± 785.49
Unknown-9,30.93 ± 21.92,29.10 ± 22.47,29.88 ± 21.98,2280.00 ± 903.88
Unknown-10,41.20 ± 31.63,48.06 ± 36.15,43.82 ± 32.79,1900.00 ± 2074.85
Unknown-11,42.12 ± 4.73,46.01 ± 8.79,43.59 ± 5.47,5240.00 ± 983.87
Unknown-12,1.54 ± 3.44,1.54 ± 3.44,1.54 ± 3.44,1160.00 ± 397.49
Unknown-13,42.61 ± 12.89,44.29 ± 11.61,43.07 ± 12.20,4720.00 ± 1495.66
Unknown-14,0.74 ± 1.66,10.00 ± 22.36,1.38 ± 3.08,320.00 ± 258.84
Unknown-16,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 70.71
Unknown-17,43.57 ± 14.62,47.02 ± 14.64,45.22 ± 14.66,4700.00 ± 3203.12
Unknown-18,26.26 ± 14.01,27.57 ± 13.16,26.84 ± 13.57,2480.00 ± 1107.70
Unknown-20,35.21 ± 10.93,35.46 ± 12.41,35.30 ± 11.64,5840.00 ± 2010.72
Unknown-21,37.50 ± 47.87,37.50 ± 47.87,33.33 ± 38.49,100.00 ± 81.65
Unknown-23,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,150.00 ± 129.10
Unknown-24,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-26,10.00 ± 22.36,6.67 ± 14.91,8.00 ± 17.89,280.00 ± 148.32
Unknown-27,22.89 ± 17.81,22.08 ± 18.20,20.23 ± 12.80,640.00 ± 482.70
Unknown-28,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,225.00 ± 386.22
Unknown-30,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,380.00 ± 148.32
Unknown-31,31.20 ± 12.02,32.32 ± 11.99,31.71 ± 11.96,3580.00 ± 1393.56
Unknown-32,55.83 ± 30.23,63.75 ± 33.01,52.24 ± 15.92,400.00 ± 316.23
Unknown-33,42.54 ± 33.92,42.90 ± 35.37,42.67 ± 34.61,3660.00 ± 5193.55
Unknown-34,33.17 ± 17.86,32.39 ± 17.60,32.75 ± 17.70,1160.00 ± 545.89
Unknown-35,56.67 ± 36.51,34.67 ± 20.63,42.76 ± 25.82,440.00 ± 288.10
Unknown-36,37.87 ± 12.56,37.21 ± 13.51,37.35 ± 12.71,1540.00 ± 634.82
Unknown-37,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 250.00
Unknown-38,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,266.67 ± 152.75
Unknown-39,18.10 ± 13.21,19.67 ± 12.27,17.67 ± 10.65,520.00 ± 396.23
Unknown-40,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 0.00
Unknown-41,23.47 ± 19.77,24.72 ± 20.55,23.90 ± 20.00,2060.00 ± 923.58
Unknown-42,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,200.00 ± 264.58
Unknown-43,31.25 ± 15.68,42.92 ± 17.87,35.65 ± 16.01,1500.00 ± 717.64
Unknown-44,1.82 ± 4.07,2.00 ± 4.47,1.90 ± 4.26,1280.00 ± 370.14
Unknown-46,36.80 ± 12.01,36.27 ± 10.99,36.40 ± 11.19,5440.00 ± 1650.15
Unknown-47,2.86 ± 6.39,4.44 ± 9.94,3.48 ± 7.78,540.00 ± 270.19
Unknown-48,26.69 ± 18.99,64.29 ± 41.65,34.67 ± 20.63,220.00 ± 277.49
Unknown-49,34.94 ± 17.92,36.83 ± 7.83,34.12 ± 12.20,1140.00 ± 1071.45
Unknown-50,26.50 ± 25.50,24.87 ± 23.69,24.51 ± 23.40,780.00 ± 334.66
Unknown-51,14.15 ± 7.72,20.32 ± 6.74,14.54 ± 3.75,1340.00 ± 680.44
Unknown-52,0.95 ± 2.13,1.54 ± 3.44,1.18 ± 2.63,320.00 ± 554.08
Unknown-53,18.67 ± 18.50,10.94 ± 10.62,13.02 ± 12.08,1140.00 ± 415.93
Unknown-54,16.67 ± 19.25,37.50 ± 47.87,22.50 ± 26.30,175.00 ± 150.00
Unknown-55,29.05 ± 20.49,18.12 ± 12.80,21.16 ± 13.66,2220.00 ± 746.32
Unknown-56,11.74 ± 7.71,29.72 ± 17.86,16.20 ± 9.77,1080.00 ± 277.49
Unknown-57,28.66 ± 16.43,26.12 ± 17.09,27.11 ± 16.49,2680.00 ± 1015.87
Unknown-58,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,175.00 ± 221.74
Unknown-60,27.02 ± 13.17,30.32 ± 18.33,28.22 ± 15.13,1840.00 ± 968.50
Unknown-61,1.11 ± 2.48,1.67 ± 3.73,1.33 ± 2.98,480.00 ± 476.45
Unknown-62,5.63 ± 8.47,7.25 ± 12.37,6.24 ± 9.97,1060.00 ± 502.99
Unknown-64,10.43 ± 23.33,14.12 ± 31.57,12.00 ± 26.83,640.00 ± 626.90
Unknown-65,23.89 ± 23.70,23.00 ± 22.80,22.55 ± 21.95,860.00 ± 450.56
Unknown-67,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,580.00 ± 383.41
Unknown-69,29.71 ± 17.27,32.99 ± 15.89,31.03 ± 16.36,1840.00 ± 973.65
Unknown-70,29.77 ± 18.97,25.05 ± 16.22,27.19 ± 17.47,2300.00 ± 717.64
Unknown-71,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 115.47
Unknown-72,2.86 ± 6.39,3.20 ± 7.16,3.02 ± 6.75,1640.00 ± 654.22
Unknown-74,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,220.00 ± 164.32
Unknown-75,6.76 ± 10.47,6.01 ± 9.50,6.36 ± 9.96,1080.00 ± 742.97
Unknown-76,34.02 ± 22.48,35.92 ± 6.07,31.79 ± 14.21,966.67 ± 832.67
Unknown-77,6.67 ± 14.91,6.67 ± 14.91,6.67 ± 14.91,640.00 ± 472.23
Unknown-78,1.82 ± 4.07,10.00 ± 22.36,3.08 ± 6.88,180.00 ± 130.38
Unknown-79,33.37 ± 14.60,35.06 ± 15.77,33.91 ± 14.67,3800.00 ± 1372.95
Unknown-80,53.44 ± 11.91,54.90 ± 20.03,53.87 ± 16.06,2820.00 ± 1749.86
Unknown-81,44.55 ± 8.50,52.76 ± 5.34,47.76 ± 4.45,1460.00 ± 512.84
Unknown-82,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,640.00 ± 270.19
Unknown-83,16.67 ± 28.87,33.33 ± 57.74,22.22 ± 38.49,100.00 ± 0.00
Unknown-84,14.25 ± 15.64,12.69 ± 15.00,13.39 ± 15.28,1280.00 ± 1138.86
Unknown-86,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,60.00 ± 89.44
Unknown-89,11.07 ± 11.87,10.03 ± 11.75,10.49 ± 11.78,720.00 ± 286.36
Unknown-90,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,125.00 ± 50.00
Unknown-91,4.00 ± 8.94,20.00 ± 44.72,6.67 ± 14.91,160.00 ± 194.94
Unknown-92,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,100.00 ± 81.65
Unknown-93,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,66.67 ± 57.74
Unknown-95,19.51 ± 19.05,23.66 ± 23.48,21.33 ± 20.93,1260.00 ± 1543.70
Unknown-96,31.15 ± 40.98,23.62 ± 29.26,26.83 ± 34.12,640.00 ± 517.69
Unknown-97,4.39 ± 7.23,4.03 ± 6.27,4.19 ± 6.71,960.00 ± 517.69
Unknown-98,28.63 ± 19.27,37.86 ± 22.34,30.07 ± 17.68,600.00 ± 393.70
Unknown-99,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,425.00 ± 596.52
Unknown-100,0.00 ± 0.00,0.00 ± 0.00,0.00 ± 0.00,320.00 ± 258.84
Unknown-101,53.33 ± 38.01,51.33 ± 36.64,46.67 ± 27.39,300.00 ± 234.52
